City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
35,Vaini,TO,2022-02-03 02:25:11,-21.2,-175.2,86.16,74,20,8.05
36,Tasiilaq,GL,2022-02-03 02:25:11,65.6145,-37.6368,10.56,79,97,6.42
37,Kaitangata,NZ,2022-02-03 02:20:40,-46.2817,169.8464,53.71,96,100,3.58
38,Namatanai,PG,2022-02-03 02:25:12,-3.6667,152.4333,78.89,84,100,8.21
39,Busselton,AU,2022-02-03 02:25:12,-33.65,115.3333,81.05,35,76,13.24
40,Swan Hill,AU,2022-02-03 02:25:12,-35.3378,143.5544,73.96,28,0,15.12
41,Hermanus,ZA,2022-02-03 02:25:13,-34.4187,19.2345,65.89,84,0,10.74
42,Cape Town,ZA,2022-02-03 02:25:13,-33.9258,18.4232,66.61,87,40,3.0
43,Anchorage,US,2022-02-03 02:25:13,61.2181,-149.9003,20.32,83,0,3.0
44,Salalah,OM,2022-02-03 02:25:14,17.0151,54.0924,75.29,23,0,6.91
45,Arraial Do Cabo,BR,2022-02-03 02:23:54,-22.9661,-42.0278,75.4,88,100,4.12
46,Thompson,CA,2022-02-03 02:25:14,55.7435,-97.8558,-14.64,76,20,13.8
47,Bambous Virieux,MU,2022-02-03 02:26:15,-20.3428,57.7575,79.21,94,75,25.32
48,Tibati,CM,2022-02-03 02:26:15,6.4667,12.6333,64.85,27,94,2.53
49,Zheshart,RU,2022-02-03 02:26:15,62.0731,49.5733,21.02,95,100,6.44
50,Salinopolis,BR,2022-02-03 02:26:16,-0.6136,-47.3561,78.64,86,99,10.83
51,Broken Hill,AU,2022-02-03 02:26:16,-31.95,141.4333,69.51,35,0,23.02
52,Butaritari,KI,2022-02-03 02:26:17,3.0707,172.7902,81.7,78,100,15.68
53,Bluff,NZ,2022-02-03 02:26:17,-46.6,168.3333,58.8,63,100,16.87
54,Hami,CN,2022-02-03 02:26:17,42.8,93.45,22.19,37,93,0.76
55,Lixourion,GR,2022-02-03 02:26:18,38.2019,20.4314,49.5,52,0,22.15
56,Mopipi,BW,2022-02-03 02:26:18,-21.1833,24.8833,75.97,71,33,5.53
57,Belyy Yar,RU,2022-02-03 02:26:18,53.6039,91.3903,-19.14,91,40,2.24
