City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Sumbe,AO,-11.2061,13.8437,74.43,77,100,3.38,overcast clouds
184,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,6.91,light rain
185,Kahului,US,20.8947,-156.47,80.62,59,0,23.02,clear sky
186,Chapleau,CA,47.8405,-83.4034,17.69,100,100,2.3,overcast clouds
187,Port Lincoln,AU,-34.7333,135.8667,79.14,47,0,15.32,clear sky
188,Natitingou,BJ,10.3042,1.3796,72.52,20,0,5.66,clear sky
189,Manavalakurichi,IN,8.1333,77.3,77.09,80,44,5.55,scattered clouds
190,Airai,TL,-8.9266,125.4092,72.12,67,8,1.16,clear sky
191,Axim,GH,4.8699,-2.2405,78.4,87,100,5.5,overcast clouds
192,Maneadero,MX,31.7167,-116.5667,66.18,68,0,1.01,clear sky
193,Sobolevo,RU,54.4299,31.8996,30.02,95,100,14.09,snow
194,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,52,0,4.61,clear sky
195,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,75,2.3,broken clouds
196,Portland,US,45.5234,-122.6762,57.15,74,20,1.01,few clouds
197,Manta,EC,-0.95,-80.7333,76.78,83,75,9.22,broken clouds
198,Teknaf,BD,20.8624,92.3058,57.61,69,7,7.36,clear sky
199,Bandarbeyla,SO,9.4942,50.8122,74.66,75,97,13.0,overcast clouds
200,Lorengau,PG,-2.0226,147.2712,83.32,77,99,8.61,overcast clouds
201,Aquiraz,BR,-3.9014,-38.3911,82.18,78,4,7.27,clear sky
202,Tonj,SS,7.2737,28.6822,69.4,22,88,5.12,overcast clouds
203,Chunskiy,RU,56.0815,99.6342,6.12,98,100,2.53,overcast clouds
204,Cockburn Town,TC,21.4612,-71.1419,75.16,64,20,9.22,few clouds
205,Gat,IL,31.61,34.7642,54.91,100,4,7.07,clear sky
206,Zorleni,RO,46.2667,27.7167,42.31,49,100,10.58,overcast clouds
207,Nargana,PA,9.4428,-78.5906,78.78,75,0,11.54,clear sky
208,Mogadouro,PT,41.3403,-6.7119,29.79,62,96,3.87,overcast clouds
209,Talnakh,RU,69.4865,88.3972,-28.43,99,57,1.5,broken clouds
210,Kabalo,CD,-6.05,26.9167,68.36,98,100,3.11,light rain
211,Olafsvik,IS,64.8945,-23.7142,30.27,61,100,26.6,snow
212,Hithadhoo,MV,-0.6,73.0833,82.27,70,63,14.88,broken clouds
213,Perth,AU,-31.9333,115.8333,73.58,51,40,20.71,scattered clouds
214,Charyshskoye,RU,51.3978,83.5598,8.58,73,3,5.93,clear sky
215,Kuytun,RU,54.3419,101.5036,7.11,97,100,1.83,overcast clouds
216,Karratha,AU,-20.7377,116.8463,87.82,63,43,7.0,scattered clouds
217,Mahebourg,MU,-20.4081,57.7,77.29,83,40,6.91,scattered clouds
218,Wukari,NG,7.85,9.7833,71.53,21,1,4.25,clear sky
219,Ancud,CL,-41.8697,-73.8203,60.33,84,5,3.13,clear sky
220,Maua,BR,-23.6678,-46.4614,73.2,89,100,3.44,overcast clouds
221,Asau,RO,46.4333,26.4,38.32,69,100,5.93,overcast clouds
222,Iranshahr,IR,27.2025,60.6848,59.83,42,0,0.83,clear sky
223,Ponta Delgada,PT,37.7333,-25.6667,60.49,88,75,12.66,broken clouds
224,Kavaratti,IN,10.5669,72.642,77.54,67,5,7.45,clear sky
225,Provideniya,RU,64.3833,-173.3,3.31,66,0,4.47,clear sky
226,Masterton,NZ,-40.9597,175.6575,64.94,93,100,6.15,overcast clouds
227,Nador,MA,35.174,-2.9287,57.45,82,40,4.61,scattered clouds
228,Baherden,TM,38.4362,57.4316,36.84,64,22,6.35,few clouds
229,Santa Cruz,BO,-17.8,-63.1667,74.66,73,40,5.75,scattered clouds
230,Neuquen,AR,-38.9516,-68.0591,76.89,36,0,5.75,clear sky
231,Betsiamites,CA,48.9413,-68.646,13.89,96,100,4.47,light snow
232,Burnie,AU,-41.0667,145.9167,70.95,52,1,10.85,clear sky
233,Sawtell,AU,-30.3833,153.1,70.18,82,75,18.41,broken clouds
234,Hay River,CA,60.8156,-115.7999,21.18,79,75,6.91,broken clouds
235,Katsina,NG,12.9894,7.6006,61.74,16,0,11.07,clear sky
236,Torbay,CA,47.6666,-52.7314,12.76,75,40,16.11,scattered clouds
237,Coihaique,CL,-45.5752,-72.0662,70.41,56,100,5.75,overcast clouds
238,Tabas,IR,33.5959,56.9244,44.64,38,0,1.61,clear sky
239,Camacha,PT,33.0833,-16.3333,59.76,63,40,14.97,scattered clouds
240,Nishihara,JP,26.1842,127.7558,63.68,56,75,5.75,broken clouds
241,Seddon,AU,-37.8068,144.8916,85.3,40,0,4.61,clear sky
242,Thinadhoo,MV,0.5333,72.9333,82.29,63,100,11.92,overcast clouds
243,Bowen,AU,-20.0167,148.2333,82.62,56,70,17.47,broken clouds
244,Dunedin,NZ,-45.8742,170.5036,61.14,63,100,12.48,overcast clouds
245,Broken Hill,AU,-31.95,141.4333,80.31,29,0,12.66,clear sky
246,Yaan,NG,7.3833,8.5667,76.78,17,0,4.38,clear sky
247,Bambanglipuro,ID,-7.95,110.2833,79.99,81,100,4.81,overcast clouds
248,Morehead,US,37.2711,-87.1764,33.51,85,0,0.0,clear sky
249,Azangaro,PE,-14.9167,-70.2167,42.71,85,100,1.99,overcast clouds
250,Mogwase,ZA,-25.185,27.2665,63.21,68,0,6.46,clear sky
251,Almaznyy,RU,48.0448,40.045,30.34,94,91,8.48,overcast clouds
252,Pyaozerskiy,RU,65.8333,31.1667,17.71,94,100,9.48,light snow
253,Yar-Sale,RU,66.8333,70.8333,-9.53,99,41,8.95,scattered clouds
254,Ampanihy,MG,-24.7,44.75,73.2,92,100,15.52,moderate rain
255,Khudumelapye,BW,-23.8833,24.75,68.4,59,29,5.53,scattered clouds
256,West Wendover,US,40.7391,-114.0733,34.32,57,0,4.21,clear sky
257,New Norfolk,AU,-42.7826,147.0587,76.66,33,0,1.99,clear sky
258,Dekar,BW,-21.5333,21.9333,72.12,52,100,8.86,overcast clouds
259,Hervey Bay,AU,-25.2986,152.8535,80.04,89,97,8.99,light rain
260,Dzhebariki-Khaya,RU,62.2167,135.8,-28.77,95,84,0.87,broken clouds
261,Maba,CN,24.6841,113.5984,51.6,98,100,1.61,overcast clouds
262,Port Hedland,AU,-20.3167,118.5667,78.85,100,100,6.91,light intensity shower rain
263,Codrington,AU,-38.2667,141.9667,82.31,28,0,3.44,clear sky
264,Charagua,BO,-19.8,-63.2167,66.61,63,28,6.11,scattered clouds
265,Palana,RU,59.1167,159.9667,14.11,74,81,9.1,broken clouds
266,Mana,GF,5.6592,-53.7767,78.06,84,100,8.41,overcast clouds
267,Wachtebeke,BE,51.1788,3.8725,42.4,74,11,10.0,few clouds
268,Geraldton,AU,-28.7667,114.6,74.12,43,75,19.57,broken clouds
269,Glace Bay,CA,46.1969,-59.957,14.79,82,40,4.61,scattered clouds
270,Kuzedeyevo,RU,53.3308,87.2019,1.92,98,100,2.64,overcast clouds
271,Porto Belo,BR,-27.1578,-48.5531,78.75,78,43,12.57,scattered clouds
272,Palmer,US,42.1584,-72.3287,22.03,69,20,0.0,few clouds
273,Kampot,KH,10.6167,104.1833,82.45,64,96,5.39,overcast clouds
274,Okhotsk,RU,59.3833,143.3,-0.85,71,96,9.28,overcast clouds
275,Saint-Georges,GD,12.0564,-61.7485,78.48,83,75,14.97,broken clouds
276,Lindi,TZ,-10.0,39.7167,74.64,92,100,4.12,overcast clouds
277,Honiara,SB,-9.4333,159.95,84.92,76,100,7.38,overcast clouds
278,Juarez,MX,31.7333,-106.4833,51.98,25,0,11.99,clear sky
279,Gushikawa,JP,26.3544,127.8686,63.63,67,100,5.75,overcast clouds
280,Naze,JP,28.3667,129.4833,54.52,57,100,4.23,light rain
281,Natchez,US,31.5604,-91.4032,43.9,53,0,0.0,clear sky
282,Iquitos,PE,-3.7481,-73.2472,77.04,94,40,2.3,scattered clouds
283,Santo Domingo,DO,18.5001,-69.9886,74.03,89,75,4.0,broken clouds
284,Kongolo,CD,-5.3833,27.0,68.16,99,100,3.91,moderate rain
285,Meulaboh,ID,4.1363,96.1285,76.77,84,100,1.43,overcast clouds
286,Badin,PK,24.656,68.8384,64.56,78,0,7.72,clear sky
287,Krapivinskiy,RU,54.9992,86.8133,0.52,98,100,2.89,overcast clouds
288,Itarema,BR,-2.9248,-39.9167,79.57,75,0,12.44,clear sky
289,Bayan,CN,46.0833,127.4,0.99,94,100,2.57,overcast clouds
290,Dharchula,IN,29.85,80.5333,45.1,53,4,6.98,clear sky
291,Mao,ES,39.8885,4.2658,46.96,93,20,4.61,few clouds
292,Xuddur,SO,4.1213,43.8894,67.84,66,30,13.53,scattered clouds
293,Chadiza,ZM,-14.0678,32.4392,60.73,96,6,1.05,clear sky
294,Kropotkin,RU,45.4375,40.5756,31.26,86,100,10.04,overcast clouds
295,Verkhnyaya Inta,RU,65.9811,60.3094,0.7,90,100,7.25,overcast clouds
296,Lata,PT,40.1629,-8.3327,46.04,64,11,4.36,few clouds
297,Fomboni,KM,-12.28,43.7425,82.13,75,0,7.67,light rain
298,Anadyr,RU,64.75,177.4833,-17.52,82,0,6.71,clear sky
299,Broome,US,42.2506,-75.833,23.9,79,0,1.99,clear sky
300,Carlisle,US,40.2015,-77.1889,30.34,56,0,7.02,clear sky
301,Nizhniy Kuranakh,RU,58.8353,125.4869,-6.7,93,100,0.13,overcast clouds
302,Marawi,PH,7.9986,124.2928,72.64,62,29,3.13,scattered clouds
303,Vardo,NO,70.3705,31.1107,23.29,82,74,20.07,broken clouds
304,Saint-Pierre,RE,-21.3393,55.4781,76.68,83,0,6.91,clear sky
305,Sulphur Springs,US,33.1385,-95.6011,48.4,46,0,0.0,clear sky
306,Batagay-Alyta,RU,67.8006,130.4114,-25.29,96,100,3.31,overcast clouds
307,Flin Flon,CA,54.7682,-101.865,3.2,95,100,9.64,overcast clouds
308,Namibe,AO,-15.1961,12.1522,73.04,68,100,9.15,overcast clouds
309,Cariamanga,EC,-4.3333,-79.55,53.55,96,100,1.63,light rain
310,Skegness,GB,53.1436,0.3363,39.22,70,0,21.56,clear sky
311,Touros,BR,-5.1989,-35.4608,81.5,73,11,10.8,few clouds
312,Sorong,ID,-0.8833,131.25,83.71,70,100,6.91,overcast clouds
313,Serov,RU,59.6033,60.5787,4.46,99,100,5.01,overcast clouds
314,Honningsvag,NO,70.9821,25.9704,25.95,78,68,28.5,broken clouds
315,Nelson Bay,AU,-32.7167,152.15,77.29,63,68,17.58,broken clouds
316,Barsovo,RU,61.1667,73.1667,-4.99,97,51,9.26,broken clouds
317,Ialibu,PG,-6.2821,143.9935,70.74,53,100,4.94,overcast clouds
318,Hamilton,US,39.1834,-84.5333,31.84,81,0,0.0,clear sky
319,Galle,LK,6.0367,80.217,78.17,75,100,1.72,overcast clouds
320,Esperance,AU,-33.8667,121.9,66.02,54,15,26.33,few clouds
321,Sooke,CA,48.3746,-123.7276,47.52,88,17,11.5,few clouds
322,Poum,NC,-20.2333,164.0167,81.84,82,100,16.93,overcast clouds
323,Boone,US,39.0334,-92.3335,38.86,92,4,4.18,clear sky
324,Baghdad,IQ,33.3406,44.4009,42.71,65,0,1.14,clear sky
325,Auki,SB,-8.7676,160.7034,84.43,79,100,11.32,overcast clouds
326,Ruston,US,32.5232,-92.6379,41.9,68,0,3.98,clear sky
327,Shelopugino,RU,51.6514,117.5599,-6.7,100,100,1.95,overcast clouds
328,Saiha,IN,22.4833,92.9667,46.67,67,6,3.62,clear sky
329,Sabha,LY,27.0377,14.4283,54.09,23,15,9.86,few clouds
330,Port Macquarie,AU,-31.4333,152.9167,72.9,62,63,15.7,light rain
331,Gorontalo,ID,0.5412,123.0595,84.02,67,99,2.51,light rain
332,Jacareacanga,BR,-6.2222,-57.7528,74.64,94,100,1.48,heavy intensity rain
333,Sisimiut,GL,66.9395,-53.6735,1.09,96,100,8.68,overcast clouds
334,Borogontsy,RU,62.6683,131.1683,-29.34,97,100,3.71,overcast clouds
335,Biak,ID,-0.9131,122.8766,81.1,69,100,2.15,overcast clouds
336,Kattivakkam,IN,13.2167,80.3167,79.07,75,86,3.62,overcast clouds
337,Harper,LR,4.375,-7.7169,79.09,83,100,7.2,overcast clouds
338,Kiunga,PG,-6.1219,141.2906,89.31,60,100,0.89,overcast clouds
339,Panjab,AF,34.388,67.0233,1.74,100,93,3.36,overcast clouds
340,Sholokhove,UA,47.6945,34.0312,32.88,90,76,14.38,broken clouds
341,Ubala,CO,4.7478,-72.5369,84.74,46,76,8.19,broken clouds
342,Tucupita,VE,9.0622,-62.051,72.68,97,40,4.43,scattered clouds
343,Bonfim,BR,3.0833,-59.95,80.22,71,79,2.95,broken clouds
344,Esso,RU,55.9333,158.7,15.66,87,94,2.71,overcast clouds
345,Clyde River,CA,70.4692,-68.5914,-30.77,68,0,10.36,clear sky
346,Kruisfontein,ZA,-34.0033,24.7314,66.88,66,0,1.1,clear sky
347,Husavik,IS,66.0449,-17.3389,22.91,90,100,10.58,overcast clouds
348,Tabou,CI,4.423,-7.3528,79.18,83,100,6.85,overcast clouds
