City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
81,Kanniyakumari,IN,75.85,broken clouds,8.0833,77.5667,Sparsa
84,Sabang,ID,77.97,overcast clouds,5.8933,95.3214,Hotel Citra
90,Mackay,AU,81.68,few clouds,-21.15,149.2,International Lodge Motel
94,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
95,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Tamale,GH,78.37,clear sky,9.4008,-0.8393,Tap Hotel
99,Carnarvon,AU,73.51,clear sky,-24.8667,113.6333,Hospitality Carnarvon
101,Ciudad Bolivar,VE,82.29,scattered clouds,8.1222,-63.5497,Hotel Edi
102,Ca Mau,VN,81.25,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
104,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
106,Tuy Hoa,VN,73.4,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
107,Katherine,AU,84.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
114,Puerto Carreno,CO,86.68,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
121,Phan Thiet,VN,80.01,broken clouds,10.9333,108.1,Hotel Saigon-PT
123,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
125,Kaele,CM,71.98,clear sky,10.1092,14.4508,Hôtel Les Palmiers
134,Warrnambool,AU,78.82,clear sky,-38.3833,142.4833,Lady Bay Resort
135,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
136,Dingle,PH,80.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
139,Hobart,AU,77.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
147,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
149,Manado,ID,86.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
153,Isangel,VU,82.51,moderate rain,-19.55,169.2667,Tanna Lodge
155,Carauari,BR,73.71,light rain,-4.8828,-66.8958,Hotel Fellip
165,Faanui,PF,81.32,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
171,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
173,Bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
176,Caravelas,BR,77.09,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
177,Kimbe,PG,86.04,light rain,-5.5502,150.1429,Kimbe Bay Hotel
180,Dicabisagan,PH,74.28,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
181,Denpasar,ID,83.86,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
183,Sumbe,AO,74.43,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
184,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
185,Kahului,US,80.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
187,Port Lincoln,AU,79.14,clear sky,-34.7333,135.8667,Port Lincoln Hotel
188,Natitingou,BJ,72.52,clear sky,10.3042,1.3796,Auberge Centrale
189,Manavalakurichi,IN,77.09,scattered clouds,8.1333,77.3,Jebinrio home
191,Axim,GH,78.4,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
